service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20C-H50C000S-90-S,1,1,1,1,1,0,0,20200601,20200612
20C-H50C000S-90-SV,0,0,0,0,1,0,0,20200601,20200612
20C-H54C000S-11-S,1,1,1,1,1,0,0,20200601,20200612
20C-H55C000S-84-S,1,1,1,1,1,0,0,20200601,20200612
20C-H55C000S-84-SV,0,0,0,0,1,0,0,20200601,20200612
20C-H56C000S-86-S,1,1,1,1,1,0,0,20200601,20200612
20C-H56C000S-86-SV,0,0,0,0,1,0,0,20200601,20200612
20C-H57C000S-85-S,1,1,1,1,1,0,0,20200601,20200612
20C-H58C000S-82-S,1,1,1,1,1,0,0,20200601,20200612
20C-H59C000S-01-S,1,1,1,1,1,0,0,20200601,20200612
20C-H59C000S-01-SV,0,0,0,0,1,0,0,20200601,20200612
20C-H60C000S-93-S,1,1,1,1,1,0,0,20200601,20200612
20C-H62C000S-01-S,1,1,1,1,1,0,0,20200601,20200612
20C-GLOBAUX-04-S,1,1,1,1,1,0,0,20200601,20200612
20C-H50C000A-90-A,0,0,0,0,0,1,0,20200606,20200613
20C-H54C000A-11-A,0,0,0,0,0,1,0,20200606,20200613
20C-H55C000A-02-A,0,0,0,0,0,1,0,20200606,20200613
20C-H56C000A-01-A,0,0,0,0,0,1,0,20200606,20200613
20C-H57C000A-01-A,0,0,0,0,0,1,0,20200606,20200613
20C-H58C000A-01-A,0,0,0,0,0,1,0,20200606,20200613
20C-H59C000A-01-A,0,0,0,0,0,1,0,20200606,20200613
20C-H60C000A-05-A,0,0,0,0,0,1,0,20200606,20200613
20C-H62C000A-01-A,0,0,0,0,0,1,0,20200606,20200613
20C-GLOBAUX-04-A,0,0,0,0,0,1,0,20200606,20200613
20C-H50C000I-90-I,0,0,0,0,0,0,1,20200607,20200614
20C-H54C000I-11-I,0,0,0,0,0,0,1,20200607,20200614
20C-H55C000I-03-I,0,0,0,0,0,0,1,20200607,20200614
20C-H56C000I-01-I,0,0,0,0,0,0,1,20200607,20200614
20C-H57C000I-01-I,0,0,0,0,0,0,1,20200607,20200614
20C-H58C000I-01-I,0,0,0,0,0,0,1,20200607,20200614
20C-H59C000I-01-I,0,0,0,0,0,0,1,20200607,20200614
20C-H60C000I-04-I,0,0,0,0,0,0,1,20200607,20200614
20C-H62C000I-02-I,0,0,0,0,0,0,1,20200607,20200614
20C-GLOBAUX-04-I,0,0,0,0,0,0,1,20200607,20200614
20U-H50U000S-91-S,1,1,1,1,1,0,0,20200615,20200710
